country_name,unit_measure_id,price_month,price_year,commodity_category,predicted_price
Bangladesh,5,2,2017,Vegetables,0.7417954137339682
Bangladesh,5,2,2017,Sweeteners,0.9190553698342664
Bangladesh,5,2,2017,Miscellaneous,3.28236970551871
Bangladesh,5,2,2017,Dairy Products,0.9745982020796621
Bangladesh,5,2,2017,Salt,0.8240179545372726
Bangladesh,5,2,2017,Proteins,1.0693595376372413
Bangladesh,5,2,2017,Fuel,1.0452652509830975
Costa Rica,5,2,2017,Grains and Cereals,350.49280492467756
Costa Rica,5,2,2017,Pulses and Lentils,350.74642573835206
Costa Rica,5,2,2017,Edible Oils,339.83899308329933
Costa Rica,5,2,2017,Vegetables,338.57267303788683
Costa Rica,5,2,2017,Sweeteners,334.7383035293769
Costa Rica,5,2,2017,Miscellaneous,353.0785093870602
Costa Rica,5,2,2017,Dairy Products,350.808272995677
Costa Rica,5,2,2017,Salt,339.5237360024811
Costa Rica,5,2,2017,Proteins,350.9051399525744
Costa Rica,5,2,2017,Fuel,340.68552050996374
El Salvador,5,2,2017,Grains and Cereals,9.463403944042891
El Salvador,5,2,2017,Pulses and Lentils,10.477306622998727
El Salvador,5,2,2017,Edible Oils,10.40660705203757
El Salvador,5,2,2017,Vegetables,10.378925679255817
El Salvador,5,2,2017,Sweeteners,10.998103111845767
El Salvador,5,2,2017,Miscellaneous,13.244358565455645
El Salvador,5,2,2017,Dairy Products,11.01842212060199
El Salvador,5,2,2017,Salt,10.40852213335952
El Salvador,5,2,2017,Proteins,11.113183456159572
El Salvador,5,2,2017,Fuel,10.521294058122677
Guatemala,5,2,2017,Grains and Cereals,0.8102990328667025
Guatemala,5,2,2017,Pulses and Lentils,1.1814557904605534
Guatemala,5,2,2017,Edible Oils,1.3926837500312947
Guatemala,5,2,2017,Vegetables,0.9686134204121248
Guatemala,5,2,2017,Sweeteners,1.1732686935081782
Guatemala,5,2,2017,Miscellaneous,3.5223806744262793
Guatemala,5,2,2017,Dairy Products,1.2431433227045665
Guatemala,5,2,2017,Salt,0.9742288622988551
Guatemala,5,2,2017,Proteins,1.3532737340767733
Guatemala,5,2,2017,Fuel,1.2929835140910675
Honduras,5,2,2017,Grains and Cereals,209.9226355701954
Honduras,5,2,2017,Pulses and Lentils,200.71017858165476
Honduras,5,2,2017,Edible Oils,203.22790175585865
Honduras,5,2,2017,Vegetables,203.0416506794297
Honduras,5,2,2017,Sweeteners,216.6282148914288
Honduras,5,2,2017,Miscellaneous,217.196542183694
Honduras,5,2,2017,Dairy Products,216.7167889415451
Honduras,5,2,2017,Salt,216.5451939223466
Honduras,5,2,2017,Proteins,216.81000912707935
Honduras,5,2,2017,Fuel,209.06373771017192
Panama,5,2,2017,Grains and Cereals,227.0732861264235
Panama,5,2,2017,Pulses and Lentils,231.3657805646612
Panama,5,2,2017,Edible Oils,220.3735569730592
Panama,5,2,2017,Vegetables,236.65336400037998
Panama,5,2,2017,Sweeteners,236.85330446450587
Panama,5,2,2017,Miscellaneous,239.09050405789617
Panama,5,2,2017,Dairy Products,236.93976379591533
Panama,5,2,2017,Salt,228.44959011248235
Panama,5,2,2017,Proteins,237.03596562168244
Panama,5,2,2017,Fuel,214.07477922742012
Colombia,5,2,2017,Grains and Cereals,1.331618576348598
Colombia,5,2,2017,Pulses and Lentils,3.2718359288483425
Colombia,5,2,2017,Edible Oils,2.8018378938736355
Colombia,5,2,2017,Vegetables,1.2462627238798405
Colombia,5,2,2017,Sweeteners,3.0962910119068683
Colombia,5,2,2017,Miscellaneous,20.36342825703681
Colombia,5,2,2017,Dairy Products,3.3381866406197473
Colombia,5,2,2017,Salt,2.1800844117447156
Colombia,5,2,2017,Proteins,3.4278071028722157
Colombia,5,2,2017,Fuel,1.583859279585744
Cambodia,5,2,2017,Grains and Cereals,0.8046601019348671
Cambodia,5,2,2017,Pulses and Lentils,1.14692068858442
Cambodia,5,2,2017,Edible Oils,1.3574453454790085
Cambodia,5,2,2017,Vegetables,0.9358078195947739
Cambodia,5,2,2017,Sweeteners,1.1487059654356218
Cambodia,5,2,2017,Miscellaneous,3.477421482308518
Cambodia,5,2,2017,Dairy Products,1.2112373917329053
Cambodia,5,2,2017,Salt,0.946741487407649
Cambodia,5,2,2017,Proteins,1.305998727290485
Cambodia,5,2,2017,Fuel,1.1900157341509514
Indonesia,5,2,2017,Grains and Cereals,0.8454571356405589
Indonesia,5,2,2017,Pulses and Lentils,1.184384385394387
Indonesia,5,2,2017,Edible Oils,1.3211250548141342
Indonesia,5,2,2017,Vegetables,0.9046815659902954
Indonesia,5,2,2017,Sweeteners,1.1049416173794684
Indonesia,5,2,2017,Miscellaneous,3.4911725103794384
Indonesia,5,2,2017,Dairy Products,1.1858285185261368
Indonesia,5,2,2017,Salt,1.02949019536674
